Supplementary Table 2: qGI Genetic Interaction Scores,,,,,,,,,
gene,FASN_merge,ACACA,LDLR,SREBF1,SREBF2,C12orf49,qGI_FASN_a,qGI_FASN_b,qGI_FASN_c
KDM2B,-0.232468111,-0.457682122,0.042363802,-0.008365035,-0.168874095,-0.163077361,-0.63,-0.58,-0.94
PRUNE,-0.954620325,-0.457499744,-0.262401212,0.037069052,0.061980384,-0.423099446,-0.63,-1.20,-0.96
PPP2R3C,-0.047371809,-0.457184943,-0.065509645,0.043084472,0.776187446,0.111869292,-0.63,-0.31,-0.62
GPX4,-0.3532074,-0.457157579,0.060587023,0.319971324,-0.439228234,1.153820236,-0.63,-0.31,0.17
PSMA4,-0.201395566,-0.455909945,0.024986925,-0.022044038,-0.372844936,-0.138550671,-0.63,-0.84,-0.59
CHRNA3,0.003748346,-0.455740943,0.164312714,-0.273780329,-0.033592706,-0.400008846,-0.63,-0.05,0.34
SLC17A5,-0.198072627,-0.454109565,-0.243246857,-0.202649585,0.114418269,0.052798037,-0.63,-0.44,-0.33
CCT5,-0.113882374,-0.453390936,-0.188207116,0.204835578,-0.51553708,0.075477928,-0.63,-0.74,-0.65
APOC4,0.078450473,-0.453273548,0.227593187,0.067853091,0.119960939,-0.0103873,-0.63,-0.11,0.00
PIGB,-0.103975296,-0.452934263,-0.13798173,-0.520401146,0.389238728,0.005558294,-0.63,-0.08,-0.35
SUFU,0.288434263,-0.45283457,-0.149639306,0.463084378,-0.066931109,0.141714305,-0.62,-0.32,-0.60
C17orf89,-0.070389382,-0.452692886,0.094385762,0.30627262,-0.05579961,0.283687435,-0.62,-0.63,-0.90
MRPS35,-0.334317768,-0.452033477,0.240048491,0.018003306,0.320667795,-0.168172946,-0.62,0.08,-0.13
MLEC,-0.148439286,-0.451773774,-0.155460082,-0.216472286,-0.064027914,0.05751871,-0.62,-0.02,0.42
TRIM23,-0.004214734,-0.451666714,0.152509289,-0.176418701,0.169757502,0.318742091,-0.62,-0.74,-0.19
UGDH,-0.095243087,-0.450483935,-0.15402353,-0.180226289,0.347547532,-0.245242644,-0.61,-0.23,-0.51
ALDH7A1,-0.046278221,-0.448679746,-0.153698211,0.038666945,-0.174624163,-0.205099076,-0.61,-0.26,-0.20
XAB2,0.152543979,-0.448584131,0.504495981,0.044444596,0.248412171,-0.470942805,-0.61,-0.43,0.01
WBP5,0.002601703,-0.448149366,0.067504548,0.291309028,-0.064899525,0.181285567,-0.61,-0.72,-0.65
RIOK1,0.058745359,-0.447752301,-0.402343752,0.327488511,0.427510533,0.090684261,-0.61,-0.04,-0.20
AWAT1,0.173172267,-0.445461138,0.001886898,-0.272036944,0.251366189,-0.118584013,-0.61,0.05,-0.27
ZDHHC8,0.014041705,-0.445332989,0.159313039,-0.14222435,0.463222521,0.130652184,-0.61,-0.68,-0.27
CRKL,0.243705645,-0.443630983,-0.021468586,-0.041259747,-0.193890473,0.006227004,-0.60,-0.07,-0.03
RAP1GDS1,-0.123319245,-0.443252143,0.053200235,-0.194977021,-0.04457905,0.041459451,-0.60,-0.42,-0.44
AURKB,-0.136529929,-0.44275106,0.043614642,0.012082984,-0.174768006,-0.2909563,-0.60,-0.75,-0.70
MRPL34,-0.264903594,-0.442173653,0.190806527,0.010879998,-0.100208365,0.11424525,-0.60,-0.09,-0.56
APOL6,-0.008018273,-0.441578699,0.034790841,0.260610928,0.151776339,-0.213323494,-0.60,-0.22,-0.12
ESRRB,-0.007189177,-0.440213815,-0.037086117,0.124256671,-0.184413127,-0.298520947,-0.60,0.08,0.02
PLA2G5,-0.000330761,-0.438886038,-0.023545358,-0.383002228,-0.123684797,-0.013383698,-0.60,-0.47,-0.38
AFG3L2,-0.089061549,-0.438582559,0.03046071,-0.065843013,-0.074572526,0.042429452,-0.60,-0.86,-0.35
KCNA10,0.050046404,-0.437290031,-0.063974293,0.176531091,-0.029133257,0.162124298,-0.60,0.00,-0.71
SLC32A1,-0.016976794,-0.437133138,-0.054988194,0.103683503,0.078782979,-0.362971544,-0.60,-0.19,-0.03
