gene_a,gene_b,r_all,p_all,r_blood,p_blood,fdr_bh_all,fdr_bh_blood
FABP3,NDST4,0.02695297345225689,0.45545686652776357,-0.07355189353989573,0.6476587168070482,0.7351636685441834,0.9213338560066283
FABP3,PPP3R2,0.04723668353544437,0.19069937304758602,-0.22965512552454923,0.14862053801634692,0.5001950768461273,0.6159481270888195
FABP3,PRSS37,0.05314938682990399,0.1408802520870452,-0.08825212696874263,0.5832207958243047,0.43036184972712277,0.8994248417531446
FABP3,RAX,0.05012922698356813,0.16491246474357624,0.5260259572727296,0.00041200570201639023,0.46621495596246015,0.026368364929048975
FABP3,OPN5,-0.055402187065570895,0.12477655724861497,-0.19010438516746447,0.2338453360054499,0.4063425191411781,0.7074090154428547
FABP3,RNF17,-0.03716920650310656,0.3071014884906791,0.25336312371799835,0.10996562959373063,0.6261931518683882,0.5563478493279652
FABP3,RXFP3,-0.06494940213594184,0.07184909109528928,-0.12385174657310238,0.4404162139981121,0.30067122739261304,0.8432801105723015
FABP3,SLC36A3,-0.07175660351859045,0.04667920274292846,-0.15998436558093074,0.3177101633169146,0.23710071234503344,0.7475533254515637
FABP3,TSSK1B,0.05459426452516414,0.13037855476211654,0.24000138254178632,0.13068094856265391,0.41393041034749856,0.6023239391200974
BMP15,FABP5,0.001663040975144224,0.9644439970265227,0.08502762267975451,0.6067943196305325,0.9899735874961193,0.9053610848532463
C3orf30,FABP5,-0.01595325725109449,0.6587020893947483,-0.1702757627378704,0.2871583876409006,0.8589966599781655,0.7305168953191968
CXorf66,FABP5,0.08433790418515863,0.023531024056412324,0.14467002186832195,0.37956131453382963,0.14800840684131583,0.8034187293086783
FABP5,GLRA2,0.05252966245487878,0.15882842414484133,0.034677912665227115,0.8339951746509197,0.45736869045083667,0.9805684115088029
FABP5,GPX6,-0.04394268649357338,0.22353811998331521,-0.1458845634917294,0.36276380552428555,0.541910593898946,0.7870130018153991
FABP5,GSX2,0.039034825901816686,0.27964370518827375,0.06619309758684841,0.6809356843506469,0.5995710932009889,0.9236894219102493
FABP5,NDST4,0.014144578201172833,0.6953370154972885,0.1447402917756809,0.36658103156513083,0.8768782067354969,0.7899691321540601
FABP5,PPP3R2,-0.00588187562863913,0.8706400950533109,0.05137253440360333,0.7497396268349856,0.9504043324587109,0.9487560280264771
FABP5,PRSS37,0.009208497087009205,0.7987621380344568,0.36517972538099336,0.018889492055147936,0.9265206494645263,0.25357361926211297
FABP5,RAX,0.04537274612538025,0.20881689028874348,-0.2420349553998383,0.12735337257356186,0.5251190954215946,0.5950596216441318
FABP5,OPN5,0.02078058755631083,0.5650288754509319,-0.029343541268503026,0.8554894502683049,0.8070219109606669,0.9834095162491516
FABP5,RNF17,0.020487237958251178,0.5735670409378996,-0.03628120570988376,0.8218215513079825,0.8115014036242837,0.9782780009663281
FABP5,RXFP3,0.10316901629262945,0.004183861302939539,0.20117494957816132,0.20721756796290738,0.0482463285384019,0.6836698967230742
FABP5,SLC36A3,-0.027052787787514545,0.4537887773564019,0.035273702141734906,0.8266928390329195,0.7351457419532818,0.9782780009663281
FABP5,TSSK1B,-0.012808649927995637,0.7228656812518992,-0.022579942941429877,0.8885583292717876,0.8901087753751139,0.9836961309002207
BMP15,FABP6,0.09417576301436599,0.011406498397946673,0.3550019039281489,0.026579019284050275,0.09419559967336608,0.2879507767601429
C3orf30,FABP6,-0.04899797422204073,0.1746666954834977,-0.45583789436088573,0.00274345929374273,0.48192243802205387,0.08361018799977843
CXorf66,FABP6,0.0979098317631585,0.00851886501412105,-0.16188564580182946,0.32482188192981265,0.07625277774877583,0.7534038128125917
FABP6,GLRA2,-0.034038169838671986,0.361425266496413,-0.3666353820594441,0.021691026489624742,0.674348028972189,0.2620528091075772
FABP6,GPX6,0.03253737248067547,0.36755652713625164,-0.07360428400164834,0.6474241176664371,0.674348028972189,0.9213338560066283
FABP6,GSX2,-0.007877863498783364,0.8273450735623772,-0.33587007287952636,0.03180032190479346,0.9413348392531936,0.31927692748645553
FABP6,NDST4,0.024885318550267776,0.49077597319348687,-0.23278213891737526,0.14301807817033058,0.7550399587592106,0.6159481270888195
FABP6,PPP3R2,0.03540384873983944,0.3268447385589832,-0.08269829473952975,0.6072285088644624,0.6446244458482256,0.9053610848532463
FABP6,PRSS37,-0.005842378557959645,0.8715011926954598,0.2503243157392365,0.11444210485534562,0.9504043324587109,0.5670239007274263
FABP6,RAX,-0.021156690548981425,0.5580071090996589,0.00016507173163687883,0.9991827378891975,0.8017227026475046,0.9997387499787169
FABP6,OPN5,-0.06925779029578207,0.054888384828790285,-0.16576220282821325,0.30031456040948074,0.26215347977929687,0.7380904848202917
FABP6,RNF17,-0.05764669153653996,0.11301929620013183,0.05427514017804829,0.7360931242457293,0.3862914465546827,0.9464582612099783
FABP6,RXFP3,0.028477081092840164,0.43036397237286045,0.35768283564508685,0.021675718615110404,0.7163169104891137,0.2620528091075772
FABP6,SLC36A3,0.022643211002870464,0.5306760008270601,-0.11922166663880207,0.45782252966148024,0.7826780284577635,0.8512140933842867
FABP6,TSSK1B,0.0770829647118775,0.03257526136378814,0.3410690408500351,0.029089461620703253,0.18656078096487166,0.30027831350403356
BMP15,G6PD,0.06708819773383283,0.07181044884092562,-0.300223382665717,0.0633125324260276,0.30067122739261304,0.42794404323432356
C3orf30,G6PD,-0.014407180352120172,0.6993467737043974,0.058269252176654074,0.7245745954312287,0.8793358254829358,0.9432741211991328
CXorf66,G6PD,0.05152646597833612,0.16694789442671676,0.035888768342500876,0.8282839279980266,0.4696556150905438,0.9794027046997451
G6PD,GLRA2,-0.08357350508170998,0.02482580501838542,0.01040337335488944,0.9498804786639071,0.1534938010870803,0.9896440849346524
G6PD,GPX6,-0.07808435931431812,0.036060802386904026,0.00877792259834822,0.9577035971602711,0.19938586200966374,0.9905944277698158
G6PD,GSX2,-0.023853811066425628,0.5225049285027968,0.12830533283044776,0.4363199932363125,0.7794945320321445,0.8385729599736937
G6PD,NDST4,0.07058872710321165,0.05816077632303669,-0.002162954327712314,0.9895734085819046,0.27071197706722533,0.9984277608930966
G6PD,PPP3R2,-0.027546079142049824,0.4602053475904788,-0.09622072925390288,0.5600936036806842,0.7372022861611306,0.8950651198166768
G6PD,PRSS37,-0.050054301650556604,0.17942101868635663,-0.14983975005623695,0.3625806319014341,0.48915634487441206,0.7870130018153991
